date,m1
1959/1/1,142.2
1959/2/1,139.3
1959/3/1,138.4
1959/4/1,139.7
1959/5/1,138.7
1959/6/1,139.4
1959/7/1,140.3
1959/8/1,140
1959/9/1,140.4
1959/10/1,140.7
1959/11/1,141.8
1959/12/1,143.6
1960/1/1,143.3
1960/2/1,139.8
1960/3/1,138.5
1960/4/1,139.7
1960/5/1,137.6
1960/6/1,137.9
1960/7/1,138.9
1960/8/1,139.4
1960/9/1,140.5
1960/10/1,141.2
1960/11/1,142.3
1960/12/1,144.5
1961/1/1,144.5
1961/2/1,141.6
1961/3/1,140.6
1961/4/1,142.4
1961/5/1,140.6
1961/6/1,141.2
1961/7/1,141.5
1961/8/1,141.4
1961/9/1,143.1
1961/10/1,144.4
1961/11/1,146.3
1961/12/1,149.2
1962/1/1,148.9
1962/2/1,145.6
1962/3/1,144.6
1962/4/1,146.7
1962/5/1,144.5
1962/6/1,144.8
1962/7/1,145
1962/8/1,144.4
1962/9/1,145.5
1962/10/1,147
1962/11/1,148.8
1962/12/1,151.9
1963/1/1,152.1
1963/2/1,148.7
1963/3/1,147.8
1963/4/1,150
1963/5/1,147.9
1963/6/1,148.7
1963/7/1,149.9
1963/8/1,149.5
1963/9/1,151
1963/10/1,152.8
1963/11/1,155.2
1963/12/1,157.5
1964/1/1,157.9
1964/2/1,153.9
1964/3/1,153.1
1964/4/1,155.2
1964/5/1,152.7
1964/6/1,153.9
1964/7/1,155.5
1964/8/1,155.5
1964/9/1,157.8
1964/10/1,159.7
1964/11/1,161.6
1964/12/1,164.9
1965/1/1,165.3
1965/2/1,160.3
1965/3/1,159.9
1965/4/1,162.6
1965/5/1,158.7
1965/6/1,160.5
1965/7/1,161.8
1965/8/1,161.2
1965/9/1,163.9
1965/10/1,166.5
1965/11/1,168.2
1965/12/1,172.6
1966/1/1,173.8
1966/2/1,168.6
1966/3/1,168.7
1966/4/1,172.4
1966/5/1,168
1966/6/1,170
1966/7/1,169.2
1966/8/1,168.3
1966/9/1,171.1
1966/10/1,171.6
1966/11/1,172.9
1966/12/1,176.9
1967/1/1,176.6
1967/2/1,171.6
1967/3/1,172.9
1967/4/1,174.7
1967/5/1,172.3
1967/6/1,175.6
1967/7/1,177.2
1967/8/1,177.2
1967/9/1,179.8
1967/10/1,181.9
1967/11/1,183.8
1967/12/1,188.4
1968/1/1,189.2
1968/2/1,183
1968/3/1,183.5
1968/4/1,187.3
1968/5/1,184.6
1968/6/1,188.2
1968/7/1,189.8
1968/8/1,189.5
1968/9/1,191.9
1968/10/1,194.2
1968/11/1,197.6
1968/12/1,202.8
1969/1/1,203.8
1969/2/1,197.3
1969/3/1,197.8
1969/4/1,201.5
1969/5/1,197.4
1969/6/1,200.2
1969/7/1,201.2
1969/8/1,199.5
1969/9/1,201.2
1969/10/1,202.9
1969/11/1,205
1969/12/1,209.3
1970/1/1,210.8
1970/2/1,202
1970/3/1,203.5
1970/4/1,208.1
1970/5/1,204.3
1970/6/1,206.9
1970/7/1,208.1
1970/8/1,208
1970/9/1,210.8
1970/10/1,212.3
1970/11/1,214.5
1970/12/1,220.1
1971/1/1,220.4
1971/2/1,214.3
1971/3/1,216.4
1971/4/1,221.4
1971/5/1,218.8
1971/6/1,222.9
1971/7/1,225.1
1971/8/1,223.6
1971/9/1,225.4
1971/10/1,226.6
1971/11/1,228.8
1971/12/1,234.5
1972/1/1,235
1972/2/1,228.9
1972/3/1,231.7
1972/4/1,236.9
1972/5/1,232.2
1972/6/1,236.1
1972/7/1,239.1
