date,pmi
2018年5月3日 (四月),
2018年4月23日,
2018年4月4日 (三月),54.2
2018年3月5日 (二月),55.8
2018年2月21日,55.9
2018年2月5日 (一月),53.8
2018年1月24日,53.8
2018年1月4日 (十二月),54.1
2017年12月5日 (十一月),54.5
2017年11月3日 (十月),55.2
2017年10月24日 (十月),55.7
2017年10月4日 (九月),54.8
2017年9月22日,54.6
2017年9月6日 (八月),55.3
2017年8月3日 (七月),54.6
2017年7月6日 (六月),53.9
2017年6月5日 (五月),53.6
2017年5月3日 (四月),53.2
2017年4月5日 (三月),53
2017年3月3日 (二月),54.1
2017年2月3日 (一月),55.8
2017年1月5日 (十二月),54.1
2016年12月19日,53.7
2016年12月5日 (十一月),54.9
2016年11月25日,
2016年11月3日 (十月),54.9
2016年10月5日 (九月),52.3
2016年9月3日,51.5
2016年8月3日 (七月),51.8
2016年7月6日 (六月),51.2
2016年6月3日 (五月),50.9
2016年5月4日 (四月),52.4
2016年4月26日,51.7
2016年4月5日 (三月),51.3
2016年3月3日 (二月),50
2016年2月3日 (一月),53.2
2016年1月6日 (十二月),54
2015年12月3日 (十一月),55.9
2015年11月4日 (十月),55
2015年10月5日 (九月),55
2015年9月3日 (八月),55.7
2015年8月25日 (八月),55
2015年8月5日 (七月),55.7
2015年7月6日 (六月),54.6
2015年6月3日 (五月),56
2015年5月5日 (四月),57
2015年4月6日 (三月),59.2
2015年3月4日 (二月),57.2
2015年2月4日 (一月),54.4
2015年1月6日 (十二月),53.5
2014年12月3日 (十一月),56.1
2014年11月5日 (十月),57.2
2014年10月3日,59
2014年9月1日 (八月),59.7
2014年8月1日 (七月),60.6
2014年7月1日 (六月),61
2014年6月1日 (五月),58.4
2014年5月1日 (四月),55.6
2014年4月1日 (三月),55.7
2014年3月1日 (二月),54.1
2014年2月1日 (一月),56.2
2014年1月1日 (十二月),56.1
2013年12月1日 (十一月),56.2
2013年11月1日 (十月),49.6
2013年10月1日 (九月),57.3
2013年9月1日 (八月),56
2013年8月1日 (七月),56.8
2013年7月1日 (六月),55.8
2013年6月1日 (五月),54.5
2013年5月1日 (四月),53.8
2013年4月1日 (三月),53.8
2013年3月1日 (二月),54.5
2013年2月1日 (一月),53.8
2013年1月1日 (十二月),53.3
2012年12月1日 (十一月),53.8
2012年11月1日 (十月),52.5
2012年10月1日 (九月),50.7
2012年9月1日 (八月),51.9
2012年8月1日 (七月),51.3
2012年7月1日 (六月),53.2
